Shelf_ID;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_State;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Cleared;DIXIE TOGA LTDA;VOM-3019LTAC0;"";Up;12;22;0;12;20;2
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Major;Cliente: CARLOS ROBERTO;Designador: VOM-301KEB4O2-032;"";Down;128;127;255;128;127;255
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Major;Cliente: CARLOS ROBERTO;Designador: VOM-301KEB4O2-032;"";Down;128;127;255;128;127;255
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Major;Cliente: CARLOS ROBERTO;Designador: VOM-301KEB4O2-032;"";Down;128;127;255;128;127;255
VOM-A01-2 ;52;10.211.238.55;unit-21;STIM1 R1C;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Major;Cliente: CARLOS ROBERTO;Designador: VOM-301KEB4O2-032;"";Down;128;127;255;128;127;255
